title,author,category,status
Clean Code,Robert C. Martin,Programming,available
1984,George Orwell,Fiction,available
A Brief History of Time,Stephen Hawking,Science,borrowed
The Alchemist,Paulo Coelho,Fiction,borrowed
Introduction to Algorithms,Thomas H. Cormen,Programming,available
Sapiens,Yuval Noah Harari,History,borrowed
The Pragmatic Programmer,David Thomas,Programming,available
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fiction,available
Cosmos,Carl Sagan,Science,available
The Da Vinci Code,Dan Brown,Fiction,borrowed
